"site","long","lat"
"Baal Gammon",145.339685833333,-17.3783216666667
"Dargo",145.243374583333,-17.4039125
"Emuford",145.087365714286,-17.4279228571429
"Gurrumba",145.006217272727,-17.4893581818182
"Ibis Dam",145.221765833333,-17.4386325
"Jumna",145.22356,-17.4018533333333
"Mt Misery Central",145.227385789474,-17.5246947368421
"Mt Misery East",145.238575,-17.519521
"Mt Misery North",145.232880714286,-17.5077164285714
"Mt Misery South",145.2105275,-17.549755
"Springmount",145.38823,-17.217788
"Stannary Hill North",145.203207777778,-17.2689711111111
"Stannary Hill South",145.210354615385,-17.3044453846154
