"","site_1000","site_1001","site_1002","site_1003","site_1021","site_1022","site_1023","site_1024","site_1025","site_1026","site_1027","site_1028","site_1029","site_1041","site_1042","site_1043","site_1044","site_1045","site_1046","site_1047","site_1048","site_1049","site_1060","site_1061","site_1062","site_1063","site_1064","site_1065","site_1066","site_1067","site_1068","site_1078","site_1079","site_1080","site_1081","site_1082","site_1083","site_1084","site_1085","site_1096","site_1097","site_1098","site_1099","site_1100","site_1101","site_1102","site_1103","site_1111","site_1112","site_1113","site_1114","site_1115","site_1116","site_1117","site_1118","site_1123","site_1124","site_1125","site_1126","site_881","site_882","site_883","site_884","site_885","site_886","site_909","site_910","site_911","site_912","site_913","site_914","site_915","site_938","site_939","site_940","site_941","site_942","site_943","site_944","site_945","site_966","site_967","site_968","site_969","site_970","site_971","site_972","site_973","site_974","site_995","site_996","site_997","site_998","site_999"
"site_1000",0,0.442424242424242,0.688311688311688,0.947826086956522,0.891050583657588,0.853333333333333,0.761316872427984,0.621359223300971,0.495049504950495,0.333333333333333,0.514124293785311,0.698630136986301,0.693181818181818,0.933333333333333,0.872340425531915,0.785407725321888,0.708920187793427,0.59,0.489177489177489,0.547511312217195,0.523809523809524,0.650793650793651,0.948186528497409,0.912663755458515,0.896373056994819,0.763636363636364,0.69811320754717,0.668161434977579,0.621359223300971,0.67,0.652173913043478,0.939655172413793,0.894736842105263,0.779904306220096,0.761363636363636,0.758793969849246,0.68586387434555,0.695652173913043,0.75,0.927272727272727,0.881818181818182,0.850746268656716,0.869822485207101,0.75,0.765765765765766,0.784232365145228,0.824817518248175,0.907692307692308,0.922413793103448,0.902439024390244,0.946808510638298,0.878048780487805,0.876447876447876,0.816254416961131,0.854838709677419,0.944186046511628,0.931034482758621,0.915057915057915,0.911439114391144,0.84,0.71551724137931,0.595628415300546,0.706666666666667,0.682926829268293,0.982142857142857,0.847715736040609,0.859504132231405,0.707964601769911,0.567567567567568,0.647058823529412,0.602409638554217,0.718120805369127,0.891666666666667,0.71689497716895,0.625668449197861,0.518716577540107,0.55688622754491,0.471910112359551,0.450549450549451,0.930434782608696,0.90521327014218,0.841666666666667,0.687022900763359,0.574468085106383,0.486631016042781,0.426966292134831,0.474285714285714,0.443181818181818,0.72972972972973,0.908713692946058,0.854077253218884,0.636363636363636,0.475982532751092,0.400921658986175
"site_1001",0.442424242424242,0,0.584158415841584,0.935483870967742,0.931372549019608,0.910931174089069,0.789473684210526,0.699346405228758,0.570469798657718,0.558282208588957,0.483870967741935,0.698924731182796,0.67479674796748,0.949044585987261,0.930131004366812,0.822222222222222,0.7625,0.700680272108844,0.662921348314607,0.666666666666667,0.643312101910828,0.691176470588235,0.942857142857143,0.954545454545455,0.9,0.820359281437126,0.723270440251572,0.729411764705882,0.686274509803922,0.768707482993197,0.717514124293785,0.966480446927374,0.91025641025641,0.794871794871795,0.707317073170732,0.767123287671233,0.782608695652174,0.801526717557252,0.828877005347594,0.952095808383233,0.92814371257485,0.918918918918919,0.862068965517241,0.801526717557252,0.775147928994083,0.861702127659574,0.909502262443439,0.942028985507246,0.966480446927374,0.947368421052632,0.97037037037037,0.896373056994819,0.912621359223301,0.88695652173913,0.917948717948718,0.962962962962963,0.94413407821229,0.961165048543689,0.944954128440367,0.904761904761905,0.82122905027933,0.738461538461539,0.670103092783505,0.711711711711712,1,0.902777777777778,0.894179894179894,0.745664739884393,0.636363636363636,0.7,0.716814159292035,0.6875,0.903743315508021,0.795180722891566,0.641791044776119,0.626865671641791,0.578947368421053,0.568,0.581395348837209,0.903225806451613,0.911392405063291,0.893048128342246,0.751196172248804,0.67032967032967,0.611940298507463,0.6,0.491803278688525,0.463414634146341,0.621052631578947,0.936170212765957,0.866666666666667,0.737931034482759,0.625,0.536585365853659
"site_1002",0.688311688311688,0.584158415841584,0,0.843137254901961,0.979274611398964,0.974576271186441,0.921787709497207,0.859154929577465,0.782608695652174,0.697368421052632,0.646017699115044,0.780487804878049,0.714285714285714,0.972602739726027,0.963302752293578,0.940828402366864,0.879194630872483,0.794117647058823,0.796407185628742,0.78343949044586,0.712328767123288,0.664,0.984496124031008,0.987878787878788,0.984496124031008,0.923076923076923,0.837837837837838,0.79874213836478,0.746478873239437,0.823529411764706,0.698795180722892,1,0.972413793103448,0.903448275862069,0.892857142857143,0.881481481481482,0.826771653543307,0.816666666666667,0.863636363636364,1,0.948717948717949,0.985401459854015,0.904761904761905,0.883333333333333,0.886075949367089,0.875706214689266,0.895238095238095,0.979591836734694,1,0.957446808510638,0.983870967741935,0.967032967032967,0.958974358974359,0.926940639269406,0.945652173913043,1,0.988095238095238,0.98974358974359,0.971014492753623,0.970588235294118,0.952380952380952,0.848739495798319,0.837209302325581,0.78,0.958333333333333,0.984962406015038,0.955056179775281,0.876543209876543,0.768595041322314,0.775280898876405,0.745098039215686,0.717647058823529,0.977272727272727,0.948387096774194,0.788617886178862,0.772357723577236,0.669902912621359,0.684210526315789,0.661016949152542,0.96078431372549,0.972789115646258,0.965909090909091,0.888888888888889,0.812865497076023,0.723577235772358,0.719298245614035,0.63963963963964,0.642857142857143,0.547619047619048,0.977401129943503,0.952662721893491,0.895522388059702,0.793939393939394,0.712418300653595
"site_1003",0.947826086956522,0.935483870967742,0.843137254901961,0,1,1,0.985714285714286,1,0.95959595959596,0.929203539823009,0.972972972972973,1,0.917808219178082,1,0.988826815642458,1,0.963636363636364,0.958762886597938,0.96875,0.966101694915254,0.94392523364486,0.953488372093023,1,1,1,0.982905982905983,0.963302752293578,0.966666666666667,0.980582524271845,0.979381443298969,0.952755905511811,1,1,0.981132075471698,1,1,0.954545454545455,0.975308641975309,0.985401459854015,1,1,1,1,1,0.983193277310924,0.985507246376812,1,1,1,0.980392156862745,1,1,1,1,1,1,1,1,1,1,1,1,1,0.967213114754098,1,1,1,0.983739837398374,0.975609756097561,1,0.936507936507937,0.956521739130435,0.985401459854015,1,0.976190476190476,0.952380952380952,0.96875,0.946666666666667,0.949367088607595,1,1,1,1,0.984848484848485,0.904761904761905,0.973333333333333,0.944444444444444,0.945205479452055,0.866666666666667,1,1,1,0.952380952380952,0.964912280701754
"site_1021",0.891050583657588,0.931372549019608,0.979274611398964,1,0,0.404129793510324,0.51063829787234,0.787755102040816,0.825726141078838,0.890196078431372,0.935185185185185,0.956756756756757,0.953488372093023,0.317269076305221,0.433021806853583,0.551470588235294,0.674603174603175,0.866108786610879,0.844444444444444,0.861538461538462,0.903614457831325,0.956140350877193,0.405172413793103,0.477611940298507,0.568965517241379,0.66023166023166,0.697211155378486,0.801526717557252,0.869387755102041,0.874476987447699,0.866171003717472,0.498154981549816,0.548387096774194,0.685483870967742,0.823255813953488,0.831932773109244,0.904347826086957,0.89237668161435,0.885304659498208,0.55984555984556,0.513513513513513,0.641666666666667,0.769230769230769,0.910313901345291,0.846743295019157,0.835714285714286,0.795527156549521,0.558528428093645,0.608856088560886,0.581967213114754,0.682819383259912,0.656140350877193,0.671140939597315,0.708074534161491,0.742160278745645,0.574803149606299,0.608856088560886,0.583892617449664,0.625806451612903,0.640167364016736,0.638376383763838,0.873873873873874,0.947089947089947,0.931034482758621,1,0.567796610169492,0.558718861209964,0.705660377358491,0.901785714285714,0.96875,0.980487804878049,0.946808510638298,0.526881720430108,0.720930232558139,0.84070796460177,0.893805309734513,0.961165048543689,0.944700460829493,0.945701357466063,1,0.464,0.498207885304659,0.614617940199336,0.766423357664234,0.920353982300885,0.91705069124424,0.94392523364486,0.906976744186046,0.989304812834225,0.335714285714286,0.477941176470588,0.713080168776371,0.850746268656716,0.875
"site_1022",0.853333333333333,0.910931174089069,0.974576271186441,1,0.404129793510324,0,0.458461538461538,0.729166666666667,0.788732394366197,0.865771812080537,0.930501930501931,0.912280701754386,0.930232558139535,0.5,0.230769230769231,0.466666666666667,0.661016949152542,0.808510638297872,0.782747603833866,0.841584158415842,0.876712328767123,0.918819188191882,0.505454545454545,0.395498392282958,0.52,0.556291390728477,0.700680272108844,0.783606557377049,0.854166666666667,0.900709219858156,0.846153846153846,0.43312101910828,0.463917525773196,0.621993127147766,0.798449612403101,0.850533807829182,0.882783882783883,0.879699248120301,0.863354037267081,0.490066225165563,0.516556291390728,0.625441696113074,0.776892430278884,0.894736842105263,0.842105263157895,0.808049535603715,0.803370786516854,0.526315789473684,0.515923566878981,0.526132404181185,0.681481481481481,0.640243902439024,0.67741935483871,0.676712328767123,0.76969696969697,0.602693602693603,0.560509554140127,0.548387096774194,0.609065155807365,0.687943262411348,0.67515923566879,0.879245283018868,0.922413793103448,0.91869918699187,1,0.648745519713262,0.54320987654321,0.727272727272727,0.872659176029963,0.931914893617021,0.951612903225806,0.939393939393939,0.546583850931677,0.727574750830565,0.821561338289963,0.866171003717472,0.919678714859438,0.907692307692308,0.901515151515151,0.989847715736041,0.549488054607508,0.490683229813665,0.581395348837209,0.760252365930599,0.881040892193309,0.884615384615385,0.929961089494163,0.906976744186046,0.965217391304348,0.405572755417957,0.428571428571429,0.707142857142857,0.826366559485531,0.839464882943144
"site_1023",0.761316872427984,0.789473684210526,0.921787709497207,0.985714285714286,0.51063829787234,0.458461538461538,0,0.567099567099567,0.647577092511013,0.75103734439834,0.782178217821782,0.871345029239766,0.850746268656716,0.617021276595745,0.478827361563518,0.410852713178295,0.436974789915966,0.662222222222222,0.671875,0.731707317073171,0.753191489361702,0.869158878504673,0.605504587155963,0.574803149606299,0.477064220183486,0.493877551020408,0.527426160337553,0.661290322580645,0.705627705627706,0.768888888888889,0.701960784313725,0.587548638132296,0.487179487179487,0.478632478632479,0.661691542288557,0.651785714285714,0.75,0.760765550239234,0.788679245283019,0.648979591836735,0.502040816326531,0.539823008849557,0.608247422680412,0.760765550239234,0.740890688259109,0.744360902255639,0.785953177257525,0.663157894736842,0.673151750972763,0.617391304347826,0.71830985915493,0.608856088560886,0.654929577464789,0.681818181818182,0.765567765567766,0.741666666666667,0.696498054474708,0.661971830985915,0.682432432432432,0.697777777777778,0.626459143968872,0.807692307692308,0.862857142857143,0.883597883597884,1,0.684684684684685,0.573033707865168,0.649402390438247,0.752380952380952,0.887640449438202,0.895287958115183,0.862068965517241,0.584905660377358,0.639344262295082,0.707547169811321,0.726415094339623,0.84375,0.832512315270936,0.806763285024155,0.971428571428571,0.644067796610169,0.486792452830189,0.477351916376307,0.6,0.773584905660377,0.802955665024631,0.84,0.830845771144279,0.930635838150289,0.503759398496241,0.410852713178295,0.524663677130045,0.669291338582677,0.702479338842975
"site_1024",0.621359223300971,0.699346405228758,0.859154929577465,1,0.787755102040816,0.729166666666667,0.567099567099567,0,0.515789473684211,0.57843137254902,0.684848484848485,0.776119402985075,0.74390243902439,0.838383838383838,0.777777777777778,0.619909502262443,0.532338308457711,0.436170212765957,0.515981735159817,0.645933014354067,0.666666666666667,0.76271186440678,0.823204419889503,0.84331797235023,0.767955801104972,0.567307692307692,0.53,0.554502369668246,0.587628865979381,0.680851063829787,0.642201834862385,0.836363636363636,0.756345177664975,0.573604060913706,0.609756097560976,0.614973262032086,0.597765363128492,0.674418604651163,0.736842105263158,0.855769230769231,0.778846153846154,0.682539682539683,0.719745222929936,0.720930232558139,0.704761904761905,0.790393013100437,0.83206106870229,0.854838709677419,0.872727272727273,0.865284974093264,0.886363636363636,0.760683760683761,0.757085020242915,0.77859778597786,0.838983050847458,0.862068965517241,0.854545454545454,0.821862348178138,0.822393822393822,0.75531914893617,0.672727272727273,0.730994152046784,0.840579710144927,0.842105263157895,1,0.772972972972973,0.721739130434783,0.635514018691589,0.699421965317919,0.829787234042553,0.857142857142857,0.795620437956204,0.780701754385965,0.652173913043478,0.645714285714286,0.657142857142857,0.819354838709677,0.72289156626506,0.741176470588235,0.941747572815534,0.78894472361809,0.675438596491228,0.576,0.479820627802691,0.622857142857143,0.674698795180723,0.742331288343558,0.707317073170732,0.926470588235294,0.764192139737991,0.665158371040724,0.473118279569892,0.502304147465438,0.521951219512195
"site_1025",0.495049504950495,0.570469798657718,0.782608695652174,0.95959595959596,0.825726141078838,0.788732394366197,0.647577092511013,0.515789473684211,0,0.43,0.577639751552795,0.707692307692308,0.7375,0.88659793814433,0.804511278195489,0.631336405529954,0.563451776649746,0.456521739130435,0.488372093023256,0.570731707317073,0.56701030927835,0.664739884393064,0.875706214689266,0.859154929577465,0.796610169491525,0.656862745098039,0.530612244897959,0.565217391304348,0.557894736842105,0.652173913043478,0.654205607476635,0.851851851851852,0.792746113989637,0.606217616580311,0.5875,0.60655737704918,0.645714285714286,0.678571428571429,0.714285714285714,0.852941176470588,0.794117647058823,0.718918918918919,0.725490196078431,0.738095238095238,0.679611650485437,0.777777777777778,0.798449612403101,0.860655737704918,0.87037037037037,0.862433862433862,0.883720930232558,0.791304347826087,0.802469135802469,0.760299625468165,0.879310344827586,0.879396984924623,0.87037037037037,0.876543209876543,0.835294117647059,0.782608695652174,0.666666666666667,0.70059880239521,0.716417910447761,0.77027027027027,0.979166666666667,0.812154696132597,0.743362831858407,0.647619047619048,0.692307692307692,0.737226277372263,0.733333333333333,0.759398496240602,0.821428571428571,0.684729064039409,0.649122807017544,0.637426900584795,0.695364238410596,0.592592592592593,0.614457831325301,0.95959595959596,0.815384615384615,0.785714285714286,0.626016260162602,0.552511415525114,0.578947368421053,0.580246913580247,0.610062893081761,0.6375,0.803030303030303,0.831111111111111,0.741935483870968,0.527472527472527,0.502347417840376,0.472636815920398
"site_1026",0.333333333333333,0.558282208588957,0.697368421052632,0.929203539823009,0.890196078431372,0.865771812080537,0.75103734439834,0.57843137254902,0.43,0,0.508571428571429,0.708333333333333,0.71264367816092,0.932692307692308,0.885714285714286,0.748917748917749,0.649289099526066,0.515151515151515,0.449781659388646,0.506849315068493,0.528846153846154,0.636363636363636,0.947643979057592,0.920704845814978,0.884816753926702,0.761467889908257,0.685714285714286,0.619909502262443,0.588235294117647,0.666666666666667,0.657894736842105,0.956521739130435,0.864734299516908,0.729468599033816,0.71264367816092,0.725888324873096,0.661375661375661,0.747252747252747,0.697478991596639,0.944954128440367,0.871559633027523,0.849246231155779,0.844311377245509,0.78021978021978,0.736363636363636,0.799163179916318,0.845588235294118,0.922480620155039,0.939130434782609,0.931034482758621,0.956989247311828,0.901639344262295,0.891050583657588,0.836298932384342,0.910569105691057,0.943661971830986,0.930434782608696,0.945525291828794,0.9182156133829,0.838383838383838,0.756521739130435,0.679558011049724,0.702702702702703,0.716049382716049,0.963636363636364,0.866666666666667,0.841666666666667,0.705357142857143,0.60655737704918,0.682119205298013,0.634146341463415,0.727891156462585,0.915966386554622,0.769585253456221,0.621621621621622,0.524324324324324,0.6,0.488636363636364,0.511111111111111,0.929203539823009,0.904306220095694,0.848739495798319,0.7,0.562231759656652,0.437837837837838,0.534090909090909,0.549132947976879,0.517241379310345,0.753424657534247,0.916317991631799,0.878787878787879,0.653061224489796,0.427312775330396,0.413953488372093
